timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535747312486,2191,HTTP Request,200,OK,Thread Group 1-18,text,true,,343,133,294,294,2191,0,0
1535747312453,2256,HTTP Request,200,OK,Thread Group 1-77,text,true,,1042847,130,297,297,2255,0,0
1535747312457,2295,HTTP Request,200,OK,Thread Group 1-78,text,true,,1042847,130,301,301,2294,0,1
1535747312468,2321,HTTP Request,200,OK,Thread Group 1-79,text,true,,1042847,130,305,305,2320,0,0
1535747312478,2347,HTTP Request,200,OK,Thread Group 1-80,text,true,,1042847,130,308,308,2347,0,0
1535747312488,2370,HTTP Request,200,OK,Thread Group 1-81,text,true,,1042847,130,312,312,2369,0,0
1535747312498,2395,HTTP Request,200,OK,Thread Group 1-82,text,true,,1042847,130,315,315,2395,0,0
1535747312508,2415,HTTP Request,200,OK,Thread Group 1-83,text,true,,1042847,130,318,318,2414,0,0
1535747312519,2436,HTTP Request,200,OK,Thread Group 1-84,text,true,,1042847,130,321,321,2436,0,0
1535747312519,2448,HTTP Request,200,OK,Thread Group 1-19,text,true,,343,133,322,322,2448,0,0
1535747312528,2468,HTTP Request,200,OK,Thread Group 1-85,text,true,,1043053,130,325,325,2467,0,1
1535747312539,2503,HTTP Request,200,OK,Thread Group 1-86,text,true,,1043053,130,330,330,2502,0,0
1535747312549,2527,HTTP Request,200,OK,Thread Group 1-87,text,true,,1043053,130,333,333,2526,0,0
1535747312557,2524,HTTP Request,200,OK,Thread Group 1-20,text,true,,343,133,334,334,2524,0,0
1535747312590,2493,HTTP Request,200,OK,Thread Group 1-21,text,true,,343,133,334,334,2493,0,0
1535747312559,2554,HTTP Request,200,OK,Thread Group 1-88,text,true,,1043463,130,337,337,2553,0,0
1535747312569,2572,HTTP Request,200,OK,Thread Group 1-89,text,true,,1043463,130,340,340,2571,0,0
1535747312579,2598,HTTP Request,200,OK,Thread Group 1-90,text,true,,1043463,130,343,343,2597,0,1
